amount_of_ants,rho,alpha,n_alpha,n_beta,elite,n,m,D,W,smax,iterations,time,running_time
1000,0.7,0,1,0,100,60,60,20,10,0.9,31,31.15090259761721,170.01307118299883,
1000,0.7,0,1,0,100,60,60,20,10,0.9,33,30.64657935700599,184.08685996900022,
1000,0.7,0,1,0,100,60,60,20,10,0.9,31,30.8534637922464,168.41055990500172,
1000,0.7,0,1,0,100,60,60,20,10,0.9,31,31.156612392926704,165.94599383699824,
1000,0.5,0,1,0,100,60,60,20,10,0.9,178,29.397670223830126,1125.3679673699953,
1000,0.5,0,1,0,100,60,60,20,10,0.9,80,28.692875046474725,516.8812801970053,
1000,0.5,0,1,0,100,60,60,20,10,0.9,33,29.346213281347737,217.401950984,
1000,0.5,0,1,0,100,60,60,20,10,0.9,209,29.3614247477449,1365.205697548001,
1000,0.35,0,1,0,100,60,60,20,10,0.9,57,30.6721712372106,359.9320254139966,
1000,0.35,0,1,0,100,60,60,20,10,0.9,72,28.827278667159334,423.67220471799374,
200,0.6,0,1,0,20,20,10,20,5,0.9,0,28.653241676615337,9.985251074999724,
200,0.6,0,1,0,20,20,10,20,5,0.9,0,28.0294790532638,4.232772020000084,
200,0.6,0,1,0,20,20,10,20,5,0.9,0,28.520581460188467,4.84650069700001,
210,0.6,0,1,0,21,21,10,20,5,0.9,0,28.364335868853214,7.810874633999902,
200,0.6,0,1,0,20,20,10,20,5,0.9,0,27.53275231944589,3.8006701860003886,
200,0.6,0,1,0,20,20,10,20,5,0.9,0,28.05403281431726,4.747074122000413,
200,0.6,0,1,0,20,20,10,20,5,0.9,0,28.27911928887493,4.366551550000622,
200,0.6,0,1,0,20,20,10,20,5,0.9,0,28.826417424834418,3.830553599000268,
200,0.6,0,1,0,20,20,10,20,5,0.9,15,29.502957016770623,407.4251932160005,
200,0.6,0,1,0,20,20,10,20,5,0.9,14,28.70066845107833,377.33043947700025,
200,0.6,0,1,0,20,20,10,20,5,0.9,26,28.51542759004877,10.905118225999104,
200,0.6,0,1,0,20,20,10,20,5,0.9,19,29.062725726008257,8.31044559700058,
200,0.6,0,1,0,20,20,10,20,5,0.9,21,28.78534805213302,28.85007693499938,
200,0.6,0,1,0,20,20,10,20,5,0.9,25,28.929235241177285,14.390248955000061,
200,0.6,0,1,0,20,20,10,20,5,0,15,20.22543050794574,665.0756949679999,
